course_code,course_name
DSA1101,Introduction to Data Science
DSA2101,Essential Data Analytics Tools: Data Visualisation
DSA2102,Essential Data Analytics Tools: Numerical Computation
DSA3101,Data Science in Practice
DSA3102,Essential Data Analytics Tools: Convex Optimisation
DSA3361,Inferential Data Analytics
DSA3362,Predictive Data Analytics
DSA4211,High Dimensional Statistical Analysis
DSA4212,Optimisation for Large-Scale Data-Driven Inference
DSA4213,Natural Language Processing for Data Science
DSA4262,Sense-Making Case Analysis: Health and Medicine
DSA4263,Sense-Making Case Analysis: Business and Commerce
DSA4299,Applied Project in Data Science and Analytics
DSA4288,Honours Project in Data Science and Analytics
