course_code,course_name
DSA1101,Introduction to Data Science
DSA2101,Essential Data Analytics Tools: Data Visualisation
DSA3101,Data Science in Practice
DSA3361,Inferential Data Analytics
DSA3362,Predictive Data Analytics
DSA4211,High Dimensional Statistical Analysis
DSA4212,Optimisation for Large‑Scale Data Driven Inference
DSA4213,Natural Language Processing for Data Science
DSA4262,Sense‑Making Case Analysis: Health and Medicine
DSA4263,Sense‑Making Case Analysis: Business and Commerce
DSA4264,Sense‑Making Case Analysis: Public Policy and Society
DSA4265,Sense‑Making Case Analysis: Economics
DSA4266,Sense‑Making Case Analysis: Science and Technology
DSE1101,Introductory Data Science for Economics
DSE3101,Practical Data Science for Economics
HS2914,How to Teach Humans and Machines to Talk
ST1131,Introduction to Statistics and Statistical Computing
ST2131,Probability
ST2132,Mathematical Statistics
ST2137,Statistical Computing and Programming
ST2334,Probability and Statistics
ST3131,Regression Analysis
ST3232,Design and Analysis of Experiments
ST3236,Stochastic Processes I
ST3239,Survey Methodology
ST3244,Demographic Methods
ST3246,Statistical Models for Actuarial Science
ST3247,Simulation
ST3248,Statistical Learning I
ST4231,Computer Intensive Statistical Methods
ST4233,Linear Models
ST4234,Bayesian Statistics
ST4238,Stochastics Processes II
ST4245,Statistical Methods for Finance
ST4248,Statistical Learning II
ST4250,Multivariate Statistical Analysis
ST4253,Applied Time Series Analysis
DSS5101,Principles of Sustainability
DSS5102,Advanced Regression and Time Series Analysis
DSS5103,Geospatial Data Analysis
DSS5104,Machine Learning and Predictive Modelling
DSS5105,Data Science Projects in Practice
DSS5201,Data Visualisation
DSS5202,Sustainable Systems Analysis
DSS5203,ESG Data for Sustainable Finance and Investments
DSS5210,Research/Industry Project I
DSS5211,Research/Industry Project II
ST5201X,Statistical Foundations of Data Science
ST5202,Applied Regression Analysis
ST5202X,Applied Regression Analysis
ST5203,Design of Experiments
ST5209X,Analysis of Time Series Data
ST5211X,Sampling from Finite Populations
ST5188,Advanced Data Science Project
ST5207,Nonparametric Regression
ST5212,Survival Analysis
ST5213,Advanced Categorical Data Analysis
ST5218,Advanced Statistical Methods in Finance
ST5221,Stochastic Processes and Applications
ST5225,Statistical Analysis of Networks
ST5226,Spatial Statistics
ST5227,Applied Statistical Learning
ST5229,Deep Learning in Data Analytics
ST5230,Applied Natural Language Processing
ST5290,Data Science Industry Project
ST6101,Advanced Statistical Theory
ST6102,Advanced Statistical Theory II
ST6103,Advanced Probability Theory
ST6104,Statistical Models
ST6105,Computational Statistics
ST6120,Graduate Seminar Module
ST6241,Topics I
IND5003,Data Analytics for Sense Making
ST5201,Statistical Foundations of Data Science
